datetime,datetime_nano,KQ.m@DCE.i.open,KQ.m@DCE.i.high,KQ.m@DCE.i.low,KQ.m@DCE.i.close,KQ.m@DCE.i.volume,KQ.m@DCE.i.open_oi,KQ.m@DCE.i.close_oi
2016-03-14 00:00:00.000000000,1457884800000000000,419.5,454.0,418.0,422.5,2730134,573667,543743
2016-03-15 00:00:00.000000000,1457971200000000000,421.0,428.0,410.5,413.0,2428268,543743,519894
2016-03-16 00:00:00.000000000,1458057600000000000,411.0,421.0,410.0,419.0,1660521,519894,530786
2016-03-17 00:00:00.000000000,1458144000000000000,420.0,436.5,416.0,435.5,2216293,530786,543284
2016-03-18 00:00:00.000000000,1458230400000000000,435.0,451.5,433.5,449.5,1967330,543284,466616
2016-03-21 00:00:00.000000000,1458489600000000000,449.0,469.5,446.0,456.0,2040756,466616,424007
2016-03-22 00:00:00.000000000,1458576000000000000,424.0,427.5,413.0,416.5,2444108,424007,724153
2016-03-23 00:00:00.000000000,1458662400000000000,415.0,423.5,408.0,411.0,2722970,724153,785332
2016-03-24 00:00:00.000000000,1458748800000000000,409.5,410.5,390.0,390.0,2732362,785332,741466
2016-03-25 00:00:00.000000000,1458835200000000000,385.5,394.0,383.5,392.5,1993734,741466,718440
2016-03-28 00:00:00.000000000,1459094400000000000,394.5,401.0,377.5,378.5,3069188,718440,740062
2016-03-29 00:00:00.000000000,1459180800000000000,381.5,384.0,371.5,379.0,2595520,740062,696525
2016-03-30 00:00:00.000000000,1459267200000000000,379.5,386.5,373.5,379.0,2843629,696525,659262
2016-03-31 00:00:00.000000000,1459353600000000000,378.5,385.0,372.0,380.0,2257030,659262,620401
2016-04-01 00:00:00.000000000,1459440000000000000,381.0,391.0,380.5,386.5,2163375,620401,571605
2016-04-05 00:00:00.000000000,1459785600000000000,388.0,389.0,372.0,382.0,1670303,571605,590038
2016-04-06 00:00:00.000000000,1459872000000000000,381.5,384.5,368.5,375.0,1782084,590038,656858
2016-04-07 00:00:00.000000000,1459958400000000000,374.5,382.5,373.5,377.5,1545101,656858,639050
2016-04-08 00:00:00.000000000,1460044800000000000,375.5,379.5,373.0,377.0,1425242,639050,651255
2016-04-11 00:00:00.000000000,1460304000000000000,378.0,394.5,377.0,388.0,2403693,651255,693545
2016-04-12 00:00:00.000000000,1460390400000000000,390.0,409.5,389.5,409.5,2838092,693545,736724
2016-04-13 00:00:00.000000000,1460476800000000000,414.5,424.5,412.0,419.0,2979088,736724,725090
2016-04-14 00:00:00.000000000,1460563200000000000,419.0,432.0,415.0,417.5,3032854,725090,699666
2016-04-15 00:00:00.000000000,1460649600000000000,416.0,420.5,405.0,408.5,3339963,699666,700044
2016-04-18 00:00:00.000000000,1460908800000000000,406.5,436.0,403.5,425.5,3051427,700044,723357
2016-04-19 00:00:00.000000000,1460995200000000000,427.0,435.0,423.0,433.5,3257378,723357,754905
2016-04-20 00:00:00.000000000,1461081600000000000,436.0,454.5,435.0,454.5,3478432,754905,641406
2016-04-21 00:00:00.000000000,1461168000000000000,456.5,474.0,448.5,474.0,3287152,641406,570078
2016-04-22 00:00:00.000000000,1461254400000000000,480.0,493.0,457.5,473.0,3260564,570078,524638
2016-04-25 00:00:00.000000000,1461513600000000000,469.0,502.0,460.0,471.0,2489833,524638,541349
2016-04-26 00:00:00.000000000,1461600000000000000,468.5,472.0,450.5,450.5,1662212,541349,519727
2016-04-27 00:00:00.000000000,1461686400000000000,451.0,455.0,432.0,434.5,1199193,519727,501888
2016-04-28 00:00:00.000000000,1461772800000000000,435.0,446.5,424.0,446.0,1183842,501888,455021
2016-04-29 00:00:00.000000000,1461859200000000000,448.0,462.0,446.5,462.0,900745,455021,412047
2016-05-03 00:00:00.000000000,1462204800000000000,459.5,462.0,431.0,442.5,776910,412047,381139
2016-05-04 00:00:00.000000000,1462291200000000000,437.5,444.0,427.0,435.0,903423,381139,420014
2016-05-05 00:00:00.000000000,1462377600000000000,435.5,439.0,410.0,412.5,1087024,420014,483132
2016-05-06 00:00:00.000000000,1462464000000000000,414.5,419.5,404.5,417.5,1162620,483132,503873
2016-05-09 00:00:00.000000000,1462723200000000000,419.5,426.5,388.0,388.0,1326962,503873,488620
2016-05-10 00:00:00.000000000,1462809600000000000,384.0,390.0,379.5,385.5,1048074,488620,490735
2016-05-11 00:00:00.000000000,1462896000000000000,388.5,393.0,377.0,385.0,1059698,490735,481669
2016-05-12 00:00:00.000000000,1462982400000000000,387.0,388.5,372.5,373.0,836439,481669,509387
2016-05-13 00:00:00.000000000,1463068800000000000,371.5,375.0,360.5,363.0,1035048,509387,526963
2016-05-16 00:00:00.000000000,1463328000000000000,363.5,374.0,361.5,367.5,866844,526963,508610
2016-05-17 00:00:00.000000000,1463414400000000000,368.0,388.0,366.0,385.5,874494,508610,519247
2016-05-18 00:00:00.000000000,1463500800000000000,384.5,392.0,368.0,372.0,1170481,519247,518082
2016-05-19 00:00:00.000000000,1463587200000000000,372.0,377.5,363.5,367.0,895029,518082,531826
2016-05-20 00:00:00.000000000,1463673600000000000,364.5,378.5,363.0,375.0,932211,531826,580442
2016-05-23 00:00:00.000000000,1463932800000000000,376.0,377.5,350.0,353.5,1128945,580442,571357
2016-05-24 00:00:00.000000000,1464019200000000000,353.0,354.0,344.5,350.5,721664,571357,605103
2016-05-25 00:00:00.000000000,1464105600000000000,352.5,355.0,340.0,342.0,798627,605103,620875
2016-05-26 00:00:00.000000000,1464192000000000000,343.0,348.0,338.0,345.0,1062691,620875,645586
2016-05-27 00:00:00.000000000,1464278400000000000,346.5,354.5,335.0,350.0,1552709,645586,701058
2016-05-30 00:00:00.000000000,1464537600000000000,350.0,352.5,333.0,347.5,1152513,701058,700439
2016-05-31 00:00:00.000000000,1464624000000000000,348.0,353.5,343.5,344.0,966689,700439,697031
2016-06-01 00:00:00.000000000,1464710400000000000,344.0,348.5,340.5,348.5,737704,697031,704903
2016-06-02 00:00:00.000000000,1464796800000000000,345.5,350.5,342.5,343.5,624187,704903,682098
2016-06-03 00:00:00.000000000,1464883200000000000,343.0,352.0,343.0,347.5,540417,682098,639278
2016-06-06 00:00:00.000000000,1465142400000000000,353.5,367.5,348.0,367.0,859942,639278,649249
2016-06-07 00:00:00.000000000,1465228800000000000,367.0,374.5,364.0,369.5,670631,649249,619845
2016-06-08 00:00:00.000000000,1465315200000000000,368.0,374.5,362.0,366.5,620453,619845,611305
2016-06-13 00:00:00.000000000,1465747200000000000,363.0,379.5,363.0,373.0,665625,611305,627235
2016-06-14 00:00:00.000000000,1465833600000000000,372.5,377.0,355.0,355.5,808018,627235,623748
2016-06-15 00:00:00.000000000,1465920000000000000,355.5,362.5,355.0,360.0,477242,623748,650000
2016-06-16 00:00:00.000000000,1466006400000000000,364.0,372.0,360.0,366.0,580604,650000,647228
2016-06-17 00:00:00.000000000,1466092800000000000,364.5,373.0,361.0,372.5,611888,647228,632603
2016-06-20 00:00:00.000000000,1466352000000000000,373.0,376.5,368.0,369.5,534145,632603,644686
2016-06-21 00:00:00.000000000,1466438400000000000,368.5,379.0,368.0,374.0,547289,644686,647394
2016-06-22 00:00:00.000000000,1466524800000000000,373.5,388.0,372.0,386.5,790634,647394,676939
2016-06-23 00:00:00.000000000,1466611200000000000,387.0,392.0,384.5,387.5,575361,676939,686996
2016-06-24 00:00:00.000000000,1466697600000000000,389.0,394.5,381.5,385.0,755097,686996,686042
2016-06-27 00:00:00.000000000,1466956800000000000,386.5,411.0,385.5,411.0,877157,686042,690934
2016-06-28 00:00:00.000000000,1467043200000000000,412.0,423.0,408.0,419.0,863814,690934,667313
2016-06-29 00:00:00.000000000,1467129600000000000,422.0,424.5,412.5,418.5,688721,667313,664482
2016-06-30 00:00:00.000000000,1467216000000000000,416.5,431.0,416.0,428.0,842351,664482,650300
2016-07-01 00:00:00.000000000,1467302400000000000,429.0,431.0,412.0,421.0,817624,650300,582065
2016-07-04 00:00:00.000000000,1467561600000000000,422.5,441.5,420.5,438.0,997026,582065,553703
2016-07-05 00:00:00.000000000,1467648000000000000,438.5,448.5,423.0,440.5,1120049,553703,533600
2016-07-06 00:00:00.000000000,1467734400000000000,438.5,443.5,418.0,428.0,1117043,533600,512971
2016-07-07 00:00:00.000000000,1467820800000000000,423.5,439.0,419.5,426.5,1008236,512971,560374
2016-07-08 00:00:00.000000000,1467907200000000000,425.5,431.5,415.0,430.0,1013547,560374,557149
2016-07-11 00:00:00.000000000,1468166400000000000,433.0,434.5,418.5,429.0,794166,557149,538400
2016-07-12 00:00:00.000000000,1468252800000000000,432.0,453.0,428.0,453.0,959713,538400,553024
2016-07-13 00:00:00.000000000,1468339200000000000,456.0,466.0,450.5,457.5,893915,553024,573654
2016-07-14 00:00:00.000000000,1468425600000000000,459.0,465.5,452.5,464.5,700741,573654,581855
2016-07-15 00:00:00.000000000,1468512000000000000,462.5,464.5,454.5,461.5,613489,581855,577880
2016-07-18 00:00:00.000000000,1468771200000000000,462.5,464.0,431.0,431.0,899289,577880,530528
2016-07-19 00:00:00.000000000,1468857600000000000,432.0,435.0,420.5,423.5,657455,530528,479532
2016-07-20 00:00:00.000000000,1468944000000000000,423.5,428.5,418.5,423.0,502804,479532,468373
2016-07-21 00:00:00.000000000,1469030400000000000,421.5,448.0,417.5,447.0,776442,468373,500539
2016-07-22 00:00:00.000000000,1469116800000000000,447.0,449.0,426.0,428.5,832873,500539,482508
2016-07-25 00:00:00.000000000,1469376000000000000,429.0,446.0,424.5,442.5,756455,482508,480132
2016-07-26 00:00:00.000000000,1469462400000000000,443.0,447.0,434.5,446.0,607905,480132,482219
2016-07-27 00:00:00.000000000,1469548800000000000,448.0,466.0,446.5,466.0,933201,482219,520837
2016-07-28 00:00:00.000000000,1469635200000000000,470.0,474.5,462.5,472.5,774555,520837,533219
2016-07-29 00:00:00.000000000,1469721600000000000,473.0,477.0,458.0,461.0,693815,533219,519622
2016-08-01 00:00:00.000000000,1469980800000000000,460.5,487.5,455.5,486.5,838562,519622,535896
2016-08-02 00:00:00.000000000,1470067200000000000,485.0,489.0,478.5,485.5,544220,535896,515425
2016-08-03 00:00:00.000000000,1470153600000000000,486.0,487.5,478.5,483.5,447768,515425,514594
2016-08-04 00:00:00.000000000,1470240000000000000,483.5,484.5,464.5,473.5,619099,514594,476076
2016-08-05 00:00:00.000000000,1470326400000000000,473.5,495.5,472.5,492.5,730342,476076,506271
2016-08-08 00:00:00.000000000,1470585600000000000,493.0,504.5,487.5,503.0,520324,506271,484388
2016-08-09 00:00:00.000000000,1470672000000000000,503.0,511.0,494.0,501.5,546703,484388,464793
2016-08-10 00:00:00.000000000,1470758400000000000,500.0,504.0,488.0,494.0,566503,464793,386080
2016-08-11 00:00:00.000000000,1470844800000000000,492.5,495.0,480.0,487.0,425820,386080,299161
2016-08-12 00:00:00.000000000,1470931200000000000,429.5,435.0,424.5,432.0,596260,299161,568681
2016-08-15 00:00:00.000000000,1471190400000000000,427.0,431.5,413.0,421.5,888027,568681,571558
2016-08-16 00:00:00.000000000,1471276800000000000,421.5,441.5,418.0,438.0,864839,571558,619551
2016-08-17 00:00:00.000000000,1471363200000000000,437.5,445.0,426.0,426.5,847220,619551,614567
2016-08-18 00:00:00.000000000,1471449600000000000,426.5,440.5,423.0,437.0,979371,614567,618822
2016-08-19 00:00:00.000000000,1471536000000000000,437.0,446.5,429.5,444.5,894769,618822,650107
2016-08-22 00:00:00.000000000,1471795200000000000,444.5,450.0,440.5,443.5,737693,650107,675018
2016-08-23 00:00:00.000000000,1471881600000000000,443.0,458.0,440.5,456.5,750885,675018,690425
2016-08-24 00:00:00.000000000,1471968000000000000,457.0,460.5,451.5,456.0,640962,690425,701611
2016-08-25 00:00:00.000000000,1472054400000000000,456.5,458.0,429.0,442.0,1245995,701611,698129
2016-08-26 00:00:00.000000000,1472140800000000000,443.0,443.0,430.5,431.0,958507,698129,694955
2016-08-29 00:00:00.000000000,1472400000000000000,430.0,431.0,414.5,421.0,1063152,694955,748727
2016-08-30 00:00:00.000000000,1472486400000000000,423.5,426.0,414.5,418.0,903398,748727,804962
2016-08-31 00:00:00.000000000,1472572800000000000,421.0,421.5,410.0,412.5,958137,804962,830783
2016-09-01 00:00:00.000000000,1472659200000000000,411.5,419.5,408.0,417.5,835333,830783,787759
2016-09-02 00:00:00.000000000,1472745600000000000,418.0,432.0,416.0,419.5,1047453,787759,785791
2016-09-05 00:00:00.000000000,1473004800000000000,421.5,428.5,416.5,418.5,971435,785791,804621
2016-09-06 00:00:00.000000000,1473091200000000000,420.0,430.0,417.5,424.0,921212,804621,823428
2016-09-07 00:00:00.000000000,1473177600000000000,423.5,425.5,406.5,407.5,1156474,823428,819581
2016-09-08 00:00:00.000000000,1473264000000000000,407.0,412.5,402.5,408.5,836779,819581,811386
2016-09-09 00:00:00.000000000,1473350400000000000,407.0,410.0,402.0,408.5,679803,811386,811367
2016-09-12 00:00:00.000000000,1473609600000000000,408.5,414.5,396.5,398.0,913909,811367,831847
2016-09-13 00:00:00.000000000,1473696000000000000,397.0,401.0,388.5,393.5,776174,831847,837739
2016-09-14 00:00:00.000000000,1473782400000000000,393.0,396.0,390.5,393.5,551682,837739,802392
2016-09-19 00:00:00.000000000,1474214400000000000,383.5,394.5,383.0,393.5,479089,802392,811771
2016-09-20 00:00:00.000000000,1474300800000000000,393.0,403.0,392.5,397.5,695407,811771,837400
2016-09-21 00:00:00.000000000,1474387200000000000,398.5,401.0,395.0,399.0,525335,837400,842695
2016-09-22 00:00:00.000000000,1474473600000000000,399.0,420.0,398.0,408.0,1050312,842695,821341
2016-09-23 00:00:00.000000000,1474560000000000000,411.0,414.5,408.0,413.5,616070,821341,805424
2016-09-26 00:00:00.000000000,1474819200000000000,413.5,419.5,408.0,411.5,746246,805424,797022
2016-09-27 00:00:00.000000000,1474905600000000000,412.0,412.5,401.5,406.0,642248,797022,785629
2016-09-28 00:00:00.000000000,1474992000000000000,405.0,413.0,403.5,413.0,561633,785629,780219
2016-09-29 00:00:00.000000000,1475078400000000000,414.0,426.5,412.0,413.5,830786,780219,775463
2016-09-30 00:00:00.000000000,1475164800000000000,413.0,414.5,402.5,404.5,510760,775463,672456
2016-10-10 00:00:00.000000000,1476028800000000000,402.5,413.5,398.0,412.5,596026,672456,745094
2016-10-11 00:00:00.000000000,1476115200000000000,414.5,422.0,412.5,422.0,724070,745094,821113
2016-10-12 00:00:00.000000000,1476201600000000000,422.5,430.0,418.5,428.0,762381,821113,849136
2016-10-13 00:00:00.000000000,1476288000000000000,427.5,429.5,423.0,427.0,597622,849136,832737
2016-10-14 00:00:00.000000000,1476374400000000000,426.5,445.5,424.0,438.5,836750,832737,838702
2016-10-17 00:00:00.000000000,1476633600000000000,437.0,447.0,436.0,442.0,662805,838702,806005
2016-10-18 00:00:00.000000000,1476720000000000000,440.5,441.5,431.5,437.5,642365,806005,792680
2016-10-19 00:00:00.000000000,1476806400000000000,438.5,450.0,432.5,436.0,1006664,792680,833267
2016-10-20 00:00:00.000000000,1476892800000000000,437.5,447.5,435.5,443.5,744986,833267,780362
2016-10-21 00:00:00.000000000,1476979200000000000,444.0,447.5,435.5,444.5,654555,780362,776850
2016-10-24 00:00:00.000000000,1477238400000000000,444.0,455.0,438.5,454.0,781546,776850,813355
2016-10-25 00:00:00.000000000,1477324800000000000,455.0,471.5,453.5,471.5,721331,813355,803487
2016-10-26 00:00:00.000000000,1477411200000000000,477.0,487.5,464.5,474.0,1009994,803487,669826
2016-10-27 00:00:00.000000000,1477497600000000000,475.5,484.5,465.5,478.5,937911,669826,725446
2016-10-28 00:00:00.000000000,1477584000000000000,478.5,497.5,474.5,494.0,935611,725446,719809
2016-10-31 00:00:00.000000000,1477843200000000000,493.5,502.5,487.5,502.0,829419,719809,717129
2016-11-01 00:00:00.000000000,1477929600000000000,502.0,508.0,493.5,502.0,765403,717129,707260
2016-11-02 00:00:00.000000000,1478016000000000000,503.0,509.0,489.0,491.5,854735,707260,690535
2016-11-03 00:00:00.000000000,1478102400000000000,491.5,500.5,488.0,500.5,673722,690535,671675
2016-11-04 00:00:00.000000000,1478188800000000000,500.5,509.5,496.0,500.0,921997,671675,715457
2016-11-07 00:00:00.000000000,1478448000000000000,501.0,530.5,491.5,520.0,1351070,715457,728743
2016-11-08 00:00:00.000000000,1478534400000000000,520.0,529.5,509.0,519.0,1182958,728743,640771
2016-11-09 00:00:00.000000000,1478620800000000000,519.0,551.5,517.5,551.5,778367,640771,568817
2016-11-10 00:00:00.000000000,1478707200000000000,563.5,588.0,561.5,588.0,999433,568817,467817
2016-11-11 00:00:00.000000000,1478793600000000000,591.5,614.5,588.0,614.5,624709,467817,486577
2016-11-14 00:00:00.000000000,1479052800000000000,634.5,656.5,595.5,627.0,1487892,486577,424595
2016-11-15 00:00:00.000000000,1479139200000000000,626.0,631.5,591.0,591.0,744951,424595,403813
2016-11-16 00:00:00.000000000,1479225600000000000,573.0,584.5,561.5,577.0,812048,403813,385445
2016-11-17 00:00:00.000000000,1479312000000000000,579.5,582.0,546.0,577.0,915573,385445,431763
2016-11-18 00:00:00.000000000,1479398400000000000,581.5,583.5,545.5,551.0,906091,431763,421843
2016-11-21 00:00:00.000000000,1479657600000000000,551.0,564.5,533.0,552.5,935369,421843,455873
2016-11-22 00:00:00.000000000,1479744000000000000,553.0,580.5,553.0,580.5,522274,455873,392615
2016-11-23 00:00:00.000000000,1479830400000000000,598.5,616.5,593.5,616.5,825050,392615,378618
2016-11-24 00:00:00.000000000,1479916800000000000,618.5,658.5,602.0,622.0,813444,378618,308195
2016-11-25 00:00:00.000000000,1480003200000000000,620.0,656.5,619.0,653.5,647487,308195,301286
2016-11-28 00:00:00.000000000,1480262400000000000,618.5,632.5,597.0,622.5,818550,301286,450199
2016-11-29 00:00:00.000000000,1480348800000000000,620.5,631.0,576.0,577.0,1069414,450199,489489
2016-11-30 00:00:00.000000000,1480435200000000000,576.0,579.0,556.0,556.0,620527,489489,401208
2016-12-01 00:00:00.000000000,1480521600000000000,552.0,603.5,548.5,595.0,1124859,401208,456487
2016-12-02 00:00:00.000000000,1480608000000000000,598.5,602.5,548.5,574.0,1438073,456487,462647
2016-12-05 00:00:00.000000000,1480867200000000000,575.5,611.5,563.0,605.0,1186962,462647,483429
2016-12-06 00:00:00.000000000,1480953600000000000,606.5,618.5,594.0,604.5,949127,483429,503289
2016-12-07 00:00:00.000000000,1481040000000000000,605.0,648.5,602.0,644.5,1029128,503289,544034
2016-12-08 00:00:00.000000000,1481126400000000000,644.5,653.5,618.0,635.0,1008449,544034,495388
2016-12-09 00:00:00.000000000,1481212800000000000,635.5,636.0,594.0,618.0,1231208,495388,518960
2016-12-12 00:00:00.000000000,1481472000000000000,622.0,657.0,606.0,635.5,977239,518960,527823
2016-12-13 00:00:00.000000000,1481558400000000000,636.0,646.0,626.5,645.5,807500,527823,538985
2016-12-14 00:00:00.000000000,1481644800000000000,643.5,643.5,598.0,605.0,1316316,538985,595567
2016-12-15 00:00:00.000000000,1481731200000000000,603.0,621.5,591.5,608.5,1034354,595567,562986
2016-12-16 00:00:00.000000000,1481817600000000000,603.5,613.5,590.5,591.5,820851,562986,563724
2016-12-19 00:00:00.000000000,1482076800000000000,584.0,590.0,559.0,560.0,894703,563724,556832
2016-12-20 00:00:00.000000000,1482163200000000000,562.0,576.0,558.5,568.0,776095,556832,550690
2016-12-21 00:00:00.000000000,1482249600000000000,571.5,576.0,553.5,573.0,774287,550690,573338
2016-12-22 00:00:00.000000000,1482336000000000000,572.5,573.0,541.5,542.5,795339,573338,573426
2016-12-23 00:00:00.000000000,1482422400000000000,542.0,555.0,540.5,548.5,707657,573426,547428
2016-12-26 00:00:00.000000000,1482681600000000000,546.5,559.0,529.0,554.5,1065549,547428,543683
2016-12-27 00:00:00.000000000,1482768000000000000,557.0,564.0,537.5,560.5,930753,543683,523440
2016-12-28 00:00:00.000000000,1482854400000000000,560.0,575.5,554.0,564.5,867469,523440,523790
2016-12-29 00:00:00.000000000,1482940800000000000,565.0,573.0,554.5,569.0,756988,523790,517664
2016-12-30 00:00:00.000000000,1483027200000000000,566.0,571.0,545.5,548.0,712436,517664,460596
2017-01-03 00:00:00.000000000,1483372800000000000,550.0,568.0,531.0,534.0,484794,460596,489582
2017-01-04 00:00:00.000000000,1483459200000000000,535.0,549.0,532.0,542.0,656961,489582,509590
2017-01-05 00:00:00.000000000,1483545600000000000,543.0,559.5,539.5,550.5,580044,509590,492647
2017-01-06 00:00:00.000000000,1483632000000000000,550.0,557.5,538.0,538.5,641542,492647,533353
2017-01-09 00:00:00.000000000,1483891200000000000,539.5,573.0,536.5,571.5,624105,533353,525433
2017-01-10 00:00:00.000000000,1483977600000000000,571.5,594.0,565.0,594.0,706251,525433,543767
2017-01-11 00:00:00.000000000,1484064000000000000,600.0,604.5,591.5,601.0,540632,543767,525565
2017-01-12 00:00:00.000000000,1484150400000000000,598.0,617.0,592.0,607.5,659075,525565,555477
2017-01-13 00:00:00.000000000,1484236800000000000,610.0,619.0,598.5,607.0,600704,555477,553575
2017-01-16 00:00:00.000000000,1484496000000000000,605.5,657.5,604.0,653.0,832008,553575,569872
2017-01-17 00:00:00.000000000,1484582400000000000,651.0,664.5,622.0,638.0,869572,569872,535651
2017-01-18 00:00:00.000000000,1484668800000000000,638.5,666.0,629.0,638.0,935404,535651,567861
2017-01-19 00:00:00.000000000,1484755200000000000,634.0,642.5,623.0,637.0,751511,567861,552957
2017-01-20 00:00:00.000000000,1484841600000000000,634.0,641.0,607.0,612.5,816939,552957,560310
2017-01-23 00:00:00.000000000,1485100800000000000,611.5,618.0,605.0,607.5,547227,560310,516586
2017-01-24 00:00:00.000000000,1485187200000000000,607.0,654.5,607.0,648.5,799752,516586,569301
2017-01-25 00:00:00.000000000,1485273600000000000,650.5,650.5,629.5,641.5,502500,569301,503364
2017-01-26 00:00:00.000000000,1485360000000000000,640.0,662.5,635.5,660.0,433568,503364,477416
2017-02-03 00:00:00.000000000,1486051200000000000,660.5,663.0,606.0,611.5,496061,477416,456986
2017-02-06 00:00:00.000000000,1486310400000000000,612.0,615.5,598.5,603.0,525875,456986,489612
2017-02-07 00:00:00.000000000,1486396800000000000,603.5,630.0,598.0,625.0,629408,489612,517205
2017-02-08 00:00:00.000000000,1486483200000000000,626.0,647.5,623.0,641.0,647047,517205,548507
2017-02-09 00:00:00.000000000,1486569600000000000,642.0,649.5,636.0,641.0,539032,548507,560660
2017-02-10 00:00:00.000000000,1486656000000000000,637.5,694.0,635.5,688.0,1108432,560660,656160
2017-02-13 00:00:00.000000000,1486915200000000000,687.5,713.0,685.0,712.5,789187,656160,632716
2017-02-14 00:00:00.000000000,1487001600000000000,714.0,716.0,696.5,712.0,587040,632716,635348
2017-02-15 00:00:00.000000000,1487088000000000000,713.5,718.0,691.0,697.5,981907,635348,644880
2017-02-16 00:00:00.000000000,1487174400000000000,694.0,721.0,682.0,685.5,1163664,644880,630267
2017-02-17 00:00:00.000000000,1487260800000000000,687.0,707.5,685.0,702.0,802475,630267,598688
2017-02-20 00:00:00.000000000,1487520000000000000,707.5,715.5,694.5,714.0,776085,598688,623731
