datetime,datetime_nano,KQ.m@CZCE.CJ.open,KQ.m@CZCE.CJ.high,KQ.m@CZCE.CJ.low,KQ.m@CZCE.CJ.close,KQ.m@CZCE.CJ.volume,KQ.m@CZCE.CJ.open_oi,KQ.m@CZCE.CJ.close_oi
2019-06-12 00:00:00.000000000,1560268800000000000,9920.0,9925.0,9740.0,9815.0,234236,62568,60347
2019-06-13 00:00:00.000000000,1560355200000000000,9860.0,10305.0,9850.0,10305.0,486332,60347,78327
2019-06-14 00:00:00.000000000,1560441600000000000,10350.0,10550.0,10140.0,10230.0,477548,78327,60642
2019-06-17 00:00:00.000000000,1560700800000000000,10250.0,10445.0,10130.0,10440.0,272052,60642,70973
2019-06-18 00:00:00.000000000,1560787200000000000,10395.0,10450.0,10075.0,10120.0,423765,70973,64013
2019-06-19 00:00:00.000000000,1560873600000000000,10185.0,10310.0,10110.0,10225.0,298842,64013,60695
2019-06-20 00:00:00.000000000,1560960000000000000,10290.0,10370.0,10180.0,10270.0,191635,60695,56244
2019-06-21 00:00:00.000000000,1561046400000000000,10365.0,10515.0,10285.0,10475.0,276191,56244,67492
2019-06-24 00:00:00.000000000,1561305600000000000,10485.0,10580.0,10360.0,10440.0,170307,67492,62309
2019-06-25 00:00:00.000000000,1561392000000000000,10425.0,10475.0,10310.0,10395.0,131894,62309,58199
2019-06-26 00:00:00.000000000,1561478400000000000,10415.0,10445.0,10320.0,10415.0,99408,58199,57568
2019-06-27 00:00:00.000000000,1561564800000000000,10420.0,10675.0,10365.0,10505.0,244186,57568,63213
2019-06-28 00:00:00.000000000,1561651200000000000,10535.0,10610.0,10300.0,10335.0,153056,63213,53274
2019-07-01 00:00:00.000000000,1561910400000000000,10365.0,10380.0,10185.0,10285.0,109195,53274,53700
2019-07-02 00:00:00.000000000,1561996800000000000,10265.0,10365.0,10155.0,10340.0,121140,53700,51102
2019-07-03 00:00:00.000000000,1562083200000000000,10305.0,10440.0,10230.0,10330.0,117728,51102,49476
2019-07-04 00:00:00.000000000,1562169600000000000,10375.0,10430.0,10310.0,10380.0,109522,49476,50048
2019-07-05 00:00:00.000000000,1562256000000000000,10390.0,10415.0,10220.0,10315.0,93380,50048,46586
2019-07-08 00:00:00.000000000,1562515200000000000,10330.0,10565.0,10325.0,10555.0,131861,46586,55071
2019-07-09 00:00:00.000000000,1562601600000000000,10625.0,10645.0,10425.0,10490.0,112056,55071,49857
2019-07-10 00:00:00.000000000,1562688000000000000,10480.0,10510.0,10255.0,10405.0,128083,49857,48075
2019-07-11 00:00:00.000000000,1562774400000000000,10430.0,10460.0,10285.0,10415.0,86241,48075,46587
2019-07-12 00:00:00.000000000,1562860800000000000,10425.0,10535.0,10335.0,10485.0,111228,46587,49057
2019-07-15 00:00:00.000000000,1563120000000000000,10480.0,10615.0,10405.0,10470.0,107047,49057,47342
2019-07-16 00:00:00.000000000,1563206400000000000,10440.0,10545.0,10365.0,10540.0,66290,47342,48735
2019-07-17 00:00:00.000000000,1563292800000000000,10540.0,10695.0,10430.0,10470.0,115561,48735,49647
2019-07-18 00:00:00.000000000,1563379200000000000,10445.0,10480.0,10335.0,10360.0,77413,49647,46406
2019-07-19 00:00:00.000000000,1563465600000000000,10315.0,10385.0,10220.0,10345.0,81951,46406,44163
2019-07-22 00:00:00.000000000,1563724800000000000,10360.0,10380.0,10185.0,10315.0,67302,44163,44401
2019-07-23 00:00:00.000000000,1563811200000000000,10285.0,10315.0,10170.0,10215.0,80072,44401,48082
2019-07-24 00:00:00.000000000,1563897600000000000,10145.0,10215.0,9995.0,10135.0,108772,48082,48739
2019-07-25 00:00:00.000000000,1563984000000000000,10135.0,10150.0,10065.0,10100.0,43597,48739,46986
2019-07-26 00:00:00.000000000,1564070400000000000,10080.0,10235.0,10025.0,10230.0,73762,46986,44213
2019-07-29 00:00:00.000000000,1564329600000000000,10225.0,10265.0,10150.0,10205.0,40643,44213,42407
2019-07-30 00:00:00.000000000,1564416000000000000,10230.0,10325.0,10180.0,10280.0,52823,42407,41651
2019-07-31 00:00:00.000000000,1564502400000000000,10290.0,10340.0,10240.0,10275.0,33722,41651,38975
2019-08-01 00:00:00.000000000,1564588800000000000,10235.0,10285.0,10120.0,10130.0,52557,38975,40819
2019-08-02 00:00:00.000000000,1564675200000000000,10070.0,10210.0,10055.0,10185.0,48916,40819,38376
2019-08-05 00:00:00.000000000,1564934400000000000,10220.0,10270.0,10030.0,10125.0,62564,38376,39762
2019-08-06 00:00:00.000000000,1565020800000000000,10190.0,10660.0,10165.0,10660.0,191613,39762,63578
2019-08-07 00:00:00.000000000,1565107200000000000,10740.0,10825.0,10545.0,10695.0,194308,63578,56767
2019-08-08 00:00:00.000000000,1565193600000000000,10750.0,10945.0,10635.0,10780.0,182783,56767,62416
2019-08-09 00:00:00.000000000,1565280000000000000,10805.0,10870.0,10580.0,10785.0,142975,62416,58899
2019-08-12 00:00:00.000000000,1565539200000000000,10840.0,11000.0,10705.0,10730.0,150106,58899,62591
2019-08-13 00:00:00.000000000,1565625600000000000,10745.0,10770.0,10610.0,10645.0,95440,62591,57768
2019-08-14 00:00:00.000000000,1565712000000000000,10640.0,10645.0,10505.0,10570.0,84374,57768,52547
2019-08-15 00:00:00.000000000,1565798400000000000,10560.0,10660.0,10525.0,10650.0,50572,52547,50063
2019-08-16 00:00:00.000000000,1565884800000000000,10740.0,10850.0,10695.0,10745.0,117107,50063,55056
2019-08-19 00:00:00.000000000,1566144000000000000,10840.0,10840.0,10735.0,10750.0,57738,55056,57306
2019-08-20 00:00:00.000000000,1566230400000000000,10750.0,10810.0,10600.0,10635.0,74950,57306,51581
2019-08-21 00:00:00.000000000,1566316800000000000,10630.0,10750.0,10545.0,10745.0,56037,51581,50000
2019-08-22 00:00:00.000000000,1566403200000000000,10745.0,10775.0,10655.0,10715.0,45699,50000,51353
2019-08-23 00:00:00.000000000,1566489600000000000,10695.0,10750.0,10635.0,10705.0,51378,51353,50518
2019-08-26 00:00:00.000000000,1566748800000000000,10685.0,10840.0,10565.0,10595.0,71227,50518,47495
2019-08-27 00:00:00.000000000,1566835200000000000,10585.0,10700.0,10525.0,10695.0,48716,47495,45051
2019-08-28 00:00:00.000000000,1566921600000000000,10695.0,10725.0,10595.0,10630.0,39014,45051,42728
2019-08-29 00:00:00.000000000,1567008000000000000,10655.0,10820.0,10645.0,10760.0,74494,42728,49274
2019-08-30 00:00:00.000000000,1567094400000000000,10760.0,10880.0,10700.0,10730.0,59651,49274,46578
2019-09-02 00:00:00.000000000,1567353600000000000,10730.0,10760.0,10615.0,10695.0,41512,46578,42800
2019-09-03 00:00:00.000000000,1567440000000000000,10720.0,11220.0,10690.0,11220.0,134758,42800,68786
2019-09-04 00:00:00.000000000,1567526400000000000,11315.0,11555.0,11300.0,11475.0,205425,68786,70023
2019-09-05 00:00:00.000000000,1567612800000000000,11480.0,11520.0,11105.0,11215.0,158357,70023,61625
2019-09-06 00:00:00.000000000,1567699200000000000,11165.0,11255.0,10820.0,10820.0,155219,61625,47376
2019-09-09 00:00:00.000000000,1567958400000000000,10795.0,10850.0,10665.0,10725.0,110892,47376,45435
2019-09-10 00:00:00.000000000,1568044800000000000,10710.0,10815.0,10690.0,10725.0,61998,45435,44278
2019-09-11 00:00:00.000000000,1568131200000000000,10690.0,10780.0,10335.0,10430.0,169825,44278,45890
2019-09-12 00:00:00.000000000,1568217600000000000,10450.0,10480.0,10305.0,10370.0,117436,45890,42648
2019-09-16 00:00:00.000000000,1568563200000000000,10460.0,10530.0,10230.0,10420.0,103454,42648,41276
2019-09-17 00:00:00.000000000,1568649600000000000,10415.0,10505.0,10365.0,10490.0,55244,41276,38822
2019-09-18 00:00:00.000000000,1568736000000000000,10475.0,10575.0,10400.0,10505.0,82187,38822,38092
2019-09-19 00:00:00.000000000,1568822400000000000,10510.0,10520.0,10250.0,10505.0,137435,38092,39775
2019-09-20 00:00:00.000000000,1568908800000000000,10495.0,10495.0,10355.0,10425.0,66162,39775,37222
2019-09-23 00:00:00.000000000,1569168000000000000,10390.0,10415.0,10060.0,10255.0,169281,37222,44154
2019-09-24 00:00:00.000000000,1569254400000000000,10280.0,10330.0,10190.0,10290.0,75230,44154,41925
2019-09-25 00:00:00.000000000,1569340800000000000,10300.0,10320.0,10170.0,10290.0,63174,41925,40783
2019-09-26 00:00:00.000000000,1569427200000000000,10290.0,10450.0,10250.0,10335.0,70018,40783,38731
2019-09-27 00:00:00.000000000,1569513600000000000,10280.0,10340.0,10150.0,10320.0,80516,38731,34371
2019-09-30 00:00:00.000000000,1569772800000000000,10335.0,10395.0,10155.0,10250.0,68822,34371,32656
2019-10-08 00:00:00.000000000,1570464000000000000,10215.0,10545.0,10180.0,10385.0,82373,32656,32538
2019-10-09 00:00:00.000000000,1570550400000000000,10400.0,10430.0,10320.0,10385.0,39601,32538,32642
2019-10-10 00:00:00.000000000,1570636800000000000,10420.0,10450.0,10340.0,10385.0,40933,32642,33484
2019-10-11 00:00:00.000000000,1570723200000000000,10390.0,10420.0,10260.0,10400.0,62684,33484,32798
2019-10-14 00:00:00.000000000,1570982400000000000,10420.0,10525.0,10340.0,10490.0,70729,32798,36374
2019-10-15 00:00:00.000000000,1571068800000000000,10470.0,10580.0,10400.0,10500.0,56066,36374,34613
2019-10-16 00:00:00.000000000,1571155200000000000,10510.0,10525.0,10410.0,10460.0,38731,34613,33341
2019-10-17 00:00:00.000000000,1571241600000000000,10465.0,10490.0,9930.0,9930.0,196579,33341,54158
2019-10-18 00:00:00.000000000,1571328000000000000,9940.0,10070.0,9770.0,10010.0,205493,54158,51431
2019-10-21 00:00:00.000000000,1571587200000000000,10000.0,10100.0,9895.0,10000.0,114119,51431,48783
2019-10-22 00:00:00.000000000,1571673600000000000,9985.0,10030.0,9940.0,10000.0,58196,48783,48182
2019-10-23 00:00:00.000000000,1571760000000000000,10025.0,10485.0,9955.0,10485.0,152083,48182,55525
2019-10-24 00:00:00.000000000,1571846400000000000,10615.0,10670.0,10515.0,10625.0,163995,55525,43375
2019-10-25 00:00:00.000000000,1571932800000000000,10640.0,10685.0,10525.0,10665.0,96054,43375,43154
2019-10-28 00:00:00.000000000,1572192000000000000,10720.0,10750.0,10450.0,10680.0,91043,43154,41585
2019-10-29 00:00:00.000000000,1572278400000000000,10655.0,10780.0,10595.0,10665.0,90108,41585,40500
2019-10-30 00:00:00.000000000,1572364800000000000,10660.0,10690.0,10585.0,10670.0,46418,40500,35029
2019-10-31 00:00:00.000000000,1572451200000000000,10675.0,10730.0,10580.0,10650.0,53618,35029,28157
2019-11-01 00:00:00.000000000,1572537600000000000,10655.0,10760.0,10580.0,10730.0,40428,28157,25248
2019-11-04 00:00:00.000000000,1572796800000000000,10805.0,11185.0,10755.0,11000.0,115395,25248,26106
2019-11-05 00:00:00.000000000,1572883200000000000,11000.0,11075.0,10870.0,10955.0,39389,26106,22775
2019-11-06 00:00:00.000000000,1572969600000000000,10965.0,10975.0,10760.0,10765.0,36401,22775,19823
2019-11-07 00:00:00.000000000,1573056000000000000,10785.0,10925.0,10740.0,10880.0,31762,19823,24555
2019-11-08 00:00:00.000000000,1573142400000000000,10910.0,11080.0,10870.0,11045.0,72625,24555,32798
2019-11-11 00:00:00.000000000,1573401600000000000,11000.0,11050.0,10870.0,10990.0,61270,32798,33171
2019-11-12 00:00:00.000000000,1573488000000000000,10970.0,11030.0,10905.0,10980.0,43869,33171,33090
2019-11-13 00:00:00.000000000,1573574400000000000,10960.0,11115.0,10890.0,11045.0,48764,33090,34442
2019-11-14 00:00:00.000000000,1573660800000000000,11030.0,11260.0,11015.0,11120.0,137893,34442,43163
2019-11-15 00:00:00.000000000,1573747200000000000,11075.0,11195.0,11020.0,11185.0,56683,43163,42610
2019-11-18 00:00:00.000000000,1574006400000000000,11165.0,11175.0,11010.0,11105.0,61728,42610,42547
2019-11-19 00:00:00.000000000,1574092800000000000,11110.0,11110.0,10790.0,10930.0,96052,42547,38864
2019-11-20 00:00:00.000000000,1574179200000000000,10935.0,11080.0,10850.0,11065.0,58728,38864,39727
2019-11-21 00:00:00.000000000,1574265600000000000,11035.0,11050.0,10910.0,10960.0,49782,39727,36250
2019-11-22 00:00:00.000000000,1574352000000000000,10915.0,10955.0,10765.0,10885.0,62430,36250,36099
2019-11-25 00:00:00.000000000,1574611200000000000,10865.0,10915.0,10765.0,10915.0,49534,36099,31344
2019-11-26 00:00:00.000000000,1574697600000000000,10875.0,10925.0,10825.0,10870.0,40642,31344,30961
2019-11-27 00:00:00.000000000,1574784000000000000,10880.0,10965.0,10755.0,10805.0,58615,30961,29609
2019-11-28 00:00:00.000000000,1574870400000000000,10815.0,10890.0,10795.0,10875.0,35833,29609,25923
2019-11-29 00:00:00.000000000,1574956800000000000,10885.0,11110.0,10810.0,11070.0,70420,25923,23414
2019-12-02 00:00:00.000000000,1575216000000000000,11040.0,11090.0,10925.0,10930.0,37329,23414,17177
2019-12-03 00:00:00.000000000,1575302400000000000,10935.0,10995.0,10925.0,10950.0,15411,17177,15914
2019-12-04 00:00:00.000000000,1575388800000000000,10940.0,10980.0,10810.0,10910.0,25295,15914,13162
2019-12-05 00:00:00.000000000,1575475200000000000,10875.0,10875.0,10785.0,10795.0,20345,13162,25675
2019-12-06 00:00:00.000000000,1575561600000000000,10770.0,10870.0,10580.0,10840.0,61063,25675,29132
2019-12-09 00:00:00.000000000,1575820800000000000,10835.0,11045.0,10770.0,10855.0,55535,29132,29269
2019-12-10 00:00:00.000000000,1575907200000000000,10890.0,10910.0,10805.0,10805.0,29403,29269,28283
2019-12-11 00:00:00.000000000,1575993600000000000,10810.0,10920.0,10780.0,10810.0,40541,28283,29640
2019-12-12 00:00:00.000000000,1576080000000000000,10820.0,10890.0,10805.0,10875.0,29293,29640,29199
2019-12-13 00:00:00.000000000,1576166400000000000,10870.0,10895.0,10770.0,10870.0,39356,29199,29166
2019-12-16 00:00:00.000000000,1576425600000000000,10915.0,10980.0,10835.0,10895.0,39225,29166,30011
2019-12-17 00:00:00.000000000,1576512000000000000,10880.0,10930.0,10860.0,10860.0,25812,30011,28890
2019-12-18 00:00:00.000000000,1576598400000000000,10850.0,10880.0,10740.0,10835.0,49637,28890,32201
2019-12-19 00:00:00.000000000,1576684800000000000,10850.0,10870.0,10790.0,10860.0,27863,32201,31476
2019-12-20 00:00:00.000000000,1576771200000000000,10860.0,10925.0,10840.0,10905.0,37243,31476,31254
2019-12-23 00:00:00.000000000,1577030400000000000,10905.0,10950.0,10810.0,10810.0,37873,31254,31262
2019-12-24 00:00:00.000000000,1577116800000000000,10810.0,10830.0,10720.0,10775.0,38891,31262,32480
2019-12-25 00:00:00.000000000,1577203200000000000,10790.0,10825.0,10710.0,10800.0,23328,32480,31548
2019-12-26 00:00:00.000000000,1577289600000000000,10825.0,10875.0,10775.0,10835.0,24880,31548,30380
2019-12-27 00:00:00.000000000,1577376000000000000,10820.0,10890.0,10800.0,10875.0,22747,30380,29695
2019-12-30 00:00:00.000000000,1577635200000000000,10855.0,11015.0,10800.0,10900.0,54241,29695,29033
2019-12-31 00:00:00.000000000,1577721600000000000,10885.0,10960.0,10840.0,10915.0,43767,29033,29786
2020-01-02 00:00:00.000000000,1577894400000000000,10915.0,10960.0,10880.0,10930.0,25280,29786,31370
2020-01-03 00:00:00.000000000,1577980800000000000,10925.0,10970.0,10860.0,10905.0,32463,31370,30415
2020-01-06 00:00:00.000000000,1578240000000000000,10910.0,10935.0,10745.0,10800.0,62479,30415,31723
2020-01-07 00:00:00.000000000,1578326400000000000,10815.0,10830.0,10420.0,10480.0,130976,31723,45142
2020-01-08 00:00:00.000000000,1578412800000000000,10495.0,10530.0,10335.0,10440.0,72014,45142,45842
2020-01-09 00:00:00.000000000,1578499200000000000,10430.0,10490.0,10370.0,10405.0,43553,45842,45150
2020-01-10 00:00:00.000000000,1578585600000000000,10290.0,10490.0,10115.0,10475.0,138615,45150,45564
2020-01-13 00:00:00.000000000,1578844800000000000,10515.0,10585.0,10360.0,10425.0,48800,45564,42507
2020-01-14 00:00:00.000000000,1578931200000000000,10425.0,10555.0,10355.0,10480.0,49596,42507,40457
2020-01-15 00:00:00.000000000,1579017600000000000,10520.0,10545.0,10405.0,10510.0,44648,40457,39172
2020-01-16 00:00:00.000000000,1579104000000000000,10510.0,10585.0,10440.0,10510.0,41662,39172,37875
2020-01-17 00:00:00.000000000,1579190400000000000,10505.0,10575.0,10470.0,10575.0,30365,37875,36609
2020-01-20 00:00:00.000000000,1579449600000000000,10600.0,10665.0,10470.0,10470.0,38211,36609,35502
2020-01-21 00:00:00.000000000,1579536000000000000,10495.0,10545.0,10450.0,10515.0,31349,35502,34424
2020-01-22 00:00:00.000000000,1579622400000000000,10515.0,10640.0,10425.0,10600.0,43738,34424,32049
2020-01-23 00:00:00.000000000,1579708800000000000,10570.0,10620.0,10520.0,10610.0,20706,32049,29564
2020-02-03 00:00:00.000000000,1580659200000000000,10305.0,10360.0,9910.0,10105.0,89416,29564,31495
2020-02-04 00:00:00.000000000,1580745600000000000,10125.0,10260.0,9890.0,10240.0,38655,31495,29416
2020-02-05 00:00:00.000000000,1580832000000000000,10240.0,10320.0,10190.0,10235.0,29758,29416,28416
2020-02-06 00:00:00.000000000,1580918400000000000,10255.0,10290.0,10205.0,10280.0,21874,28416,28323
2020-02-07 00:00:00.000000000,1581004800000000000,10300.0,10335.0,10260.0,10330.0,26660,28323,28926
2020-02-10 00:00:00.000000000,1581264000000000000,10250.0,10360.0,10230.0,10325.0,25715,28926,29139
2020-02-11 00:00:00.000000000,1581350400000000000,10330.0,10400.0,10310.0,10385.0,24902,29139,28447
2020-02-12 00:00:00.000000000,1581436800000000000,10385.0,10485.0,10370.0,10435.0,26864,28447,28738
2020-02-13 00:00:00.000000000,1581523200000000000,10420.0,10460.0,10390.0,10450.0,15470,28738,27637
2020-02-14 00:00:00.000000000,1581609600000000000,10435.0,10460.0,10350.0,10420.0,25899,27637,28876
2020-02-17 00:00:00.000000000,1581868800000000000,10425.0,10555.0,10400.0,10535.0,29563,28876,30150
2020-02-18 00:00:00.000000000,1581955200000000000,10520.0,10560.0,10490.0,10510.0,14819,30150,29462
2020-02-19 00:00:00.000000000,1582041600000000000,10520.0,10550.0,10490.0,10500.0,11612,29462,29217
2020-02-20 00:00:00.000000000,1582128000000000000,10490.0,10665.0,10475.0,10580.0,34779,29217,29460
2020-02-21 00:00:00.000000000,1582214400000000000,10560.0,10595.0,10530.0,10555.0,15003,29460,28302
2020-02-24 00:00:00.000000000,1582473600000000000,10545.0,10585.0,10440.0,10465.0,24534,28302,27159
2020-02-25 00:00:00.000000000,1582560000000000000,10435.0,10620.0,10425.0,10565.0,31902,27159,26844
2020-02-26 00:00:00.000000000,1582646400000000000,10540.0,10570.0,10465.0,10510.0,17395,26844,26362
2020-02-27 00:00:00.000000000,1582732800000000000,10515.0,10535.0,10275.0,10385.0,59886,26362,29645
2020-02-28 00:00:00.000000000,1582819200000000000,10375.0,10495.0,10320.0,10430.0,56167,29645,28812
2020-03-02 00:00:00.000000000,1583078400000000000,10425.0,10710.0,10345.0,10580.0,52321,28812,26018
2020-03-03 00:00:00.000000000,1583164800000000000,10540.0,10600.0,10460.0,10520.0,27770,26018,24589
2020-03-04 00:00:00.000000000,1583251200000000000,10510.0,10565.0,10470.0,10525.0,18351,24589,23623
2020-03-05 00:00:00.000000000,1583337600000000000,10490.0,10545.0,10470.0,10480.0,19016,23623,21857
2020-03-06 00:00:00.000000000,1583424000000000000,10435.0,10465.0,10350.0,10395.0,34130,21857,22246
2020-03-09 00:00:00.000000000,1583683200000000000,10320.0,10535.0,10245.0,10415.0,33736,22246,20972
2020-03-10 00:00:00.000000000,1583769600000000000,10445.0,10465.0,10385.0,10400.0,17138,20972,19234
2020-03-11 00:00:00.000000000,1583856000000000000,10410.0,10450.0,10270.0,10315.0,40026,19234,21991
2020-03-12 00:00:00.000000000,1583942400000000000,10325.0,10390.0,10200.0,10375.0,32455,21991,21180
2020-03-13 00:00:00.000000000,1584028800000000000,10305.0,10390.0,10250.0,10360.0,25384,21180,19677
2020-03-16 00:00:00.000000000,1584288000000000000,10330.0,10410.0,10290.0,10300.0,20987,19677,19217
2020-03-17 00:00:00.000000000,1584374400000000000,10290.0,10360.0,10230.0,10335.0,20317,19217,17398
2020-03-18 00:00:00.000000000,1584460800000000000,10325.0,10340.0,10260.0,10295.0,16362,17398,17161
2020-03-19 00:00:00.000000000,1584547200000000000,10290.0,10290.0,10020.0,10215.0,39403,17161,18627
2020-03-20 00:00:00.000000000,1584633600000000000,10260.0,10580.0,10200.0,10265.0,31758,18627,13135
2020-03-23 00:00:00.000000000,1584892800000000000,10205.0,10220.0,10100.0,10125.0,21344,13135,13801
2020-03-24 00:00:00.000000000,1584979200000000000,10125.0,10205.0,9810.0,9980.0,54998,13801,17692
2020-03-25 00:00:00.000000000,1585065600000000000,10035.0,10065.0,9715.0,9790.0,51426,17692,21328
2020-03-26 00:00:00.000000000,1585152000000000000,9770.0,10020.0,9670.0,10010.0,48610,21328,16005
2020-03-27 00:00:00.000000000,1585238400000000000,10000.0,10215.0,9985.0,10190.0,36833,16005,13310
2020-03-30 00:00:00.000000000,1585497600000000000,10245.0,10300.0,10030.0,10095.0,21389,13310,11969
2020-03-31 00:00:00.000000000,1585584000000000000,10080.0,10175.0,10070.0,10120.0,16316,11969,9319
2020-04-01 00:00:00.000000000,1585670400000000000,10125.0,10235.0,9965.0,10070.0,15295,9319,7581
2020-04-02 00:00:00.000000000,1585756800000000000,10045.0,10140.0,10030.0,10125.0,7692,7581,6536
2020-04-03 00:00:00.000000000,1585843200000000000,10125.0,10180.0,9930.0,10010.0,14363,6536,6404
2020-04-07 00:00:00.000000000,1586188800000000000,10015.0,10085.0,9925.0,9975.0,8875,6404,6255
2020-04-08 00:00:00.000000000,1586275200000000000,10160.0,10285.0,10050.0,10235.0,10727,6255,10716
2020-04-09 00:00:00.000000000,1586361600000000000,10255.0,10270.0,10140.0,10220.0,15388,10716,12219
2020-04-10 00:00:00.000000000,1586448000000000000,10175.0,10205.0,9980.0,10030.0,32546,12219,17918
2020-04-13 00:00:00.000000000,1586707200000000000,10045.0,10130.0,9950.0,10100.0,28291,17918,17589
2020-04-14 00:00:00.000000000,1586793600000000000,10095.0,10150.0,10060.0,10120.0,15493,17589,16047
2020-04-15 00:00:00.000000000,1586880000000000000,10095.0,10140.0,9990.0,10010.0,22510,16047,17572
2020-04-16 00:00:00.000000000,1586966400000000000,10020.0,10065.0,9930.0,10060.0,19973,17572,16417
2020-04-17 00:00:00.000000000,1587052800000000000,10075.0,10150.0,10055.0,10140.0,15441,16417,15650
2020-04-20 00:00:00.000000000,1587312000000000000,10150.0,10180.0,10035.0,10050.0,14555,15650,15433
2020-04-21 00:00:00.000000000,1587398400000000000,10025.0,10070.0,9960.0,9995.0,19131,15433,15689
2020-04-22 00:00:00.000000000,1587484800000000000,10000.0,10140.0,9945.0,10125.0,25917,15689,15765
2020-04-23 00:00:00.000000000,1587571200000000000,10110.0,10135.0,10070.0,10095.0,13821,15765,16180
2020-04-24 00:00:00.000000000,1587657600000000000,10100.0,10390.0,10090.0,10110.0,88154,16180,17821
2020-04-27 00:00:00.000000000,1587916800000000000,10130.0,10465.0,10115.0,10185.0,80795,17821,19199
2020-04-28 00:00:00.000000000,1588003200000000000,10220.0,10240.0,10135.0,10185.0,21277,19199,17128
2020-04-29 00:00:00.000000000,1588089600000000000,10195.0,10205.0,10000.0,10015.0,21543,17128,15474
2020-04-30 00:00:00.000000000,1588176000000000000,10050.0,10095.0,10025.0,10050.0,13916,15474,15159
2020-05-06 00:00:00.000000000,1588694400000000000,10065.0,10165.0,10005.0,10110.0,16086,15159,12857
2020-05-07 00:00:00.000000000,1588780800000000000,10120.0,10165.0,10105.0,10155.0,12721,12857,13417
2020-05-08 00:00:00.000000000,1588867200000000000,10160.0,10220.0,10070.0,10120.0,17551,13417,12665
2020-05-11 00:00:00.000000000,1589126400000000000,10135.0,10195.0,10125.0,10175.0,14841,12665,14496
2020-05-12 00:00:00.000000000,1589212800000000000,10165.0,10220.0,10140.0,10155.0,15446,14496,13874
2020-05-13 00:00:00.000000000,1589299200000000000,10170.0,10260.0,10105.0,10255.0,29940,13874,15186
2020-05-14 00:00:00.000000000,1589385600000000000,10235.0,10280.0,10195.0,10205.0,15359,15186,14190
2020-05-15 00:00:00.000000000,1589472000000000000,10215.0,10265.0,10195.0,10215.0,14319,14190,13760
2020-05-18 00:00:00.000000000,1589731200000000000,10255.0,10295.0,10195.0,10230.0,17401,13760,13053
