datetime,datetime_nano,KQ.m@DCE.l.open,KQ.m@DCE.l.high,KQ.m@DCE.l.low,KQ.m@DCE.l.close,KQ.m@DCE.l.volume,KQ.m@DCE.l.open_oi,KQ.m@DCE.l.close_oi
2016-02-16 00:00:00.000000000,1455552000000000000,8645.0,8650.0,8550.0,8615.0,374135,318887,347895
2016-02-17 00:00:00.000000000,1455638400000000000,8600.0,8630.0,8485.0,8530.0,381964,347895,373456
2016-02-18 00:00:00.000000000,1455724800000000000,8560.0,8605.0,8530.0,8580.0,252919,373456,375982
2016-02-19 00:00:00.000000000,1455811200000000000,8565.0,8870.0,8505.0,8845.0,807735,375982,401351
2016-02-22 00:00:00.000000000,1456070400000000000,8870.0,8950.0,8740.0,8770.0,546180,401351,353907
2016-02-23 00:00:00.000000000,1456156800000000000,8790.0,8820.0,8730.0,8780.0,377220,353907,344854
2016-02-24 00:00:00.000000000,1456243200000000000,8745.0,8870.0,8735.0,8840.0,466635,344854,360374
2016-02-25 00:00:00.000000000,1456329600000000000,8870.0,9010.0,8825.0,8885.0,594350,360374,341273
2016-02-26 00:00:00.000000000,1456416000000000000,8840.0,8875.0,8740.0,8820.0,614222,341273,334074
2016-02-29 00:00:00.000000000,1456675200000000000,8815.0,8920.0,8760.0,8875.0,609234,334074,355782
2016-03-01 00:00:00.000000000,1456761600000000000,8930.0,9035.0,8860.0,9000.0,652834,355782,369985
2016-03-02 00:00:00.000000000,1456848000000000000,8965.0,9095.0,8940.0,9035.0,603436,369985,345581
2016-03-03 00:00:00.000000000,1456934400000000000,9055.0,9110.0,8970.0,9015.0,448507,345581,332584
2016-03-04 00:00:00.000000000,1457020800000000000,9055.0,9275.0,9050.0,9150.0,764501,332584,311082
2016-03-07 00:00:00.000000000,1457280000000000000,9435.0,9480.0,9000.0,9010.0,848420,311082,262980
2016-03-08 00:00:00.000000000,1457366400000000000,9040.0,9095.0,8765.0,9020.0,680814,262980,235788
2016-03-09 00:00:00.000000000,1457452800000000000,8860.0,9275.0,8820.0,9210.0,691609,235788,277265
2016-03-10 00:00:00.000000000,1457539200000000000,9285.0,9305.0,8860.0,8880.0,584907,277265,232257
2016-03-11 00:00:00.000000000,1457625600000000000,8875.0,9000.0,8850.0,8905.0,419389,232257,230155
2016-03-14 00:00:00.000000000,1457884800000000000,8915.0,8960.0,8690.0,8720.0,570119,230155,247249
2016-03-15 00:00:00.000000000,1457971200000000000,8745.0,8855.0,8725.0,8800.0,437869,247249,248806
2016-03-16 00:00:00.000000000,1458057600000000000,8865.0,9175.0,8855.0,9145.0,660247,248806,272675
2016-03-17 00:00:00.000000000,1458144000000000000,9205.0,9385.0,9200.0,9380.0,489637,272675,287110
2016-03-18 00:00:00.000000000,1458230400000000000,9450.0,9545.0,9370.0,9525.0,598971,287110,281293
2016-03-21 00:00:00.000000000,1458489600000000000,9475.0,9630.0,9430.0,9535.0,495850,281293,268891
2016-03-22 00:00:00.000000000,1458576000000000000,9565.0,9570.0,9190.0,9230.0,676255,268891,244646
2016-03-23 00:00:00.000000000,1458662400000000000,9245.0,9375.0,9175.0,9235.0,415187,244646,226191
2016-03-24 00:00:00.000000000,1458748800000000000,9145.0,9385.0,9115.0,9240.0,479188,226191,200369
2016-03-25 00:00:00.000000000,1458835200000000000,9295.0,9435.0,9285.0,9430.0,360796,200369,193372
2016-03-28 00:00:00.000000000,1459094400000000000,9490.0,9515.0,9290.0,9375.0,321197,193372,200961
2016-03-29 00:00:00.000000000,1459180800000000000,9405.0,9415.0,9280.0,9320.0,251583,200961,187378
2016-03-30 00:00:00.000000000,1459267200000000000,8470.0,8535.0,8375.0,8475.0,341988,187378,271262
2016-03-31 00:00:00.000000000,1459353600000000000,8445.0,8585.0,8385.0,8575.0,529930,271262,300013
2016-04-01 00:00:00.000000000,1459440000000000000,8600.0,8825.0,8550.0,8775.0,506574,300013,318129
2016-04-05 00:00:00.000000000,1459785600000000000,8700.0,8720.0,8480.0,8585.0,415097,318129,312714
2016-04-06 00:00:00.000000000,1459872000000000000,8620.0,8635.0,8355.0,8395.0,542401,312714,363944
2016-04-07 00:00:00.000000000,1459958400000000000,8455.0,8470.0,8290.0,8295.0,468636,363944,363251
2016-04-08 00:00:00.000000000,1460044800000000000,8275.0,8340.0,8195.0,8335.0,493546,363251,345992
2016-04-11 00:00:00.000000000,1460304000000000000,8455.0,8465.0,8275.0,8340.0,639441,345992,333005
2016-04-12 00:00:00.000000000,1460390400000000000,8360.0,8405.0,8235.0,8375.0,462281,333005,313651
2016-04-13 00:00:00.000000000,1460476800000000000,8495.0,8665.0,8240.0,8245.0,871608,313651,299190
2016-04-14 00:00:00.000000000,1460563200000000000,8230.0,8375.0,8205.0,8355.0,499030,299190,301785
2016-04-15 00:00:00.000000000,1460649600000000000,8370.0,8470.0,8295.0,8335.0,558048,301785,301723
2016-04-18 00:00:00.000000000,1460908800000000000,8215.0,8410.0,8205.0,8325.0,489716,301723,298165
2016-04-19 00:00:00.000000000,1460995200000000000,8400.0,8440.0,8135.0,8225.0,640463,298165,303961
2016-04-20 00:00:00.000000000,1461081600000000000,8280.0,8325.0,8150.0,8210.0,592497,303961,289636
2016-04-21 00:00:00.000000000,1461168000000000000,8290.0,8645.0,8270.0,8600.0,972957,289636,270331
2016-04-22 00:00:00.000000000,1461254400000000000,8460.0,8585.0,8395.0,8475.0,551141,270331,256927
2016-04-25 00:00:00.000000000,1461513600000000000,8455.0,8780.0,8425.0,8730.0,707686,256927,280194
2016-04-26 00:00:00.000000000,1461600000000000000,8740.0,8945.0,8635.0,8770.0,565981,280194,257427
2016-04-27 00:00:00.000000000,1461686400000000000,8870.0,8985.0,8635.0,8685.0,498991,257427,250812
2016-04-28 00:00:00.000000000,1461772800000000000,8665.0,8755.0,8555.0,8635.0,366382,250812,248919
2016-04-29 00:00:00.000000000,1461859200000000000,8710.0,8760.0,8555.0,8595.0,362617,248919,237598
2016-05-03 00:00:00.000000000,1462204800000000000,8530.0,8560.0,8290.0,8320.0,360389,237598,234507
2016-05-04 00:00:00.000000000,1462291200000000000,8275.0,8345.0,8250.0,8290.0,270840,234507,243019
2016-05-05 00:00:00.000000000,1462377600000000000,8345.0,8345.0,8170.0,8210.0,304991,243019,255355
2016-05-06 00:00:00.000000000,1462464000000000000,8095.0,8255.0,8055.0,8145.0,316503,255355,254356
2016-05-09 00:00:00.000000000,1462723200000000000,8200.0,8205.0,7900.0,8070.0,448413,254356,256987
2016-05-10 00:00:00.000000000,1462809600000000000,8025.0,8200.0,7950.0,8165.0,427843,256987,243576
2016-05-11 00:00:00.000000000,1462896000000000000,8210.0,8260.0,8140.0,8175.0,285186,243576,230439
2016-05-12 00:00:00.000000000,1462982400000000000,8205.0,8280.0,8125.0,8205.0,299128,230439,225330
2016-05-13 00:00:00.000000000,1463068800000000000,8090.0,8190.0,7980.0,8155.0,454041,225330,212705
2016-05-16 00:00:00.000000000,1463328000000000000,8155.0,8185.0,7870.0,7905.0,457452,212705,261510
2016-05-17 00:00:00.000000000,1463414400000000000,7945.0,7995.0,7900.0,7970.0,309699,261510,272657
2016-05-18 00:00:00.000000000,1463500800000000000,8000.0,8100.0,7880.0,7935.0,359812,272657,267970
2016-05-19 00:00:00.000000000,1463587200000000000,7890.0,8000.0,7850.0,7915.0,317265,267970,278641
2016-05-20 00:00:00.000000000,1463673600000000000,7970.0,8035.0,7920.0,7965.0,256678,278641,269604
2016-05-23 00:00:00.000000000,1463932800000000000,7860.0,7945.0,7760.0,7850.0,378944,269604,266592
2016-05-24 00:00:00.000000000,1464019200000000000,7850.0,7975.0,7825.0,7940.0,277531,266592,264119
2016-05-25 00:00:00.000000000,1464105600000000000,7990.0,8095.0,7960.0,8000.0,319482,264119,255469
2016-05-26 00:00:00.000000000,1464192000000000000,8035.0,8085.0,7960.0,7995.0,298469,255469,252066
2016-05-27 00:00:00.000000000,1464278400000000000,7960.0,7960.0,7825.0,7835.0,334538,252066,266713
2016-05-30 00:00:00.000000000,1464537600000000000,7830.0,8040.0,7800.0,8025.0,262696,266713,251385
2016-05-31 00:00:00.000000000,1464624000000000000,8040.0,8150.0,8005.0,8105.0,259252,251385,242250
2016-06-01 00:00:00.000000000,1464710400000000000,8070.0,8140.0,8005.0,8035.0,211445,242250,242151
2016-06-02 00:00:00.000000000,1464796800000000000,8085.0,8100.0,7910.0,7960.0,246028,242151,259840
2016-06-03 00:00:00.000000000,1464883200000000000,7985.0,8135.0,7975.0,8135.0,246720,259840,257249
2016-06-06 00:00:00.000000000,1465142400000000000,8140.0,8200.0,8115.0,8160.0,227403,257249,259117
2016-06-07 00:00:00.000000000,1465228800000000000,8170.0,8175.0,8080.0,8145.0,162718,259117,255823
2016-06-08 00:00:00.000000000,1465315200000000000,8110.0,8255.0,8095.0,8175.0,204254,255823,255662
2016-06-13 00:00:00.000000000,1465747200000000000,8130.0,8345.0,8105.0,8340.0,218883,255662,276048
2016-06-14 00:00:00.000000000,1465833600000000000,8345.0,8370.0,8235.0,8255.0,244144,276048,285492
2016-06-15 00:00:00.000000000,1465920000000000000,8220.0,8410.0,8200.0,8390.0,266741,285492,302108
2016-06-16 00:00:00.000000000,1466006400000000000,8360.0,8510.0,8355.0,8470.0,282031,302108,299551
2016-06-17 00:00:00.000000000,1466092800000000000,8435.0,8675.0,8390.0,8650.0,313746,299551,316771
2016-06-20 00:00:00.000000000,1466352000000000000,8685.0,8790.0,8635.0,8780.0,267547,316771,308944
2016-06-21 00:00:00.000000000,1466438400000000000,8765.0,8850.0,8680.0,8755.0,325729,308944,292668
2016-06-22 00:00:00.000000000,1466524800000000000,8785.0,8870.0,8705.0,8855.0,268837,292668,288842
2016-06-23 00:00:00.000000000,1466611200000000000,8850.0,8885.0,8780.0,8835.0,232244,288842,288711
2016-06-24 00:00:00.000000000,1466697600000000000,8800.0,8950.0,8780.0,8875.0,392731,288711,299407
2016-06-27 00:00:00.000000000,1466956800000000000,8875.0,9155.0,8860.0,9080.0,471970,299407,280102
2016-06-28 00:00:00.000000000,1467043200000000000,9050.0,9280.0,8980.0,9215.0,333169,280102,271779
2016-06-29 00:00:00.000000000,1467129600000000000,9215.0,9230.0,8895.0,8905.0,426845,271779,254089
2016-06-30 00:00:00.000000000,1467216000000000000,8935.0,9260.0,8890.0,8915.0,579515,254089,241903
2016-07-01 00:00:00.000000000,1467302400000000000,8915.0,9115.0,8810.0,9055.0,388499,241903,245028
2016-07-04 00:00:00.000000000,1467561600000000000,9180.0,9435.0,9120.0,9435.0,361831,245028,232470
2016-07-05 00:00:00.000000000,1467648000000000000,9350.0,9565.0,9150.0,9515.0,619100,232470,243262
2016-07-06 00:00:00.000000000,1467734400000000000,9235.0,9475.0,9205.0,9405.0,580677,243262,218428
2016-07-07 00:00:00.000000000,1467820800000000000,9460.0,9540.0,9345.0,9400.0,369858,218428,203579
2016-07-08 00:00:00.000000000,1467907200000000000,9230.0,9240.0,8995.0,9010.0,434751,203579,188613
2016-07-11 00:00:00.000000000,1468166400000000000,9035.0,9140.0,8950.0,9095.0,263963,188613,189073
2016-07-12 00:00:00.000000000,1468252800000000000,9075.0,9345.0,9060.0,9315.0,294517,189073,189852
2016-07-13 00:00:00.000000000,1468339200000000000,9380.0,9420.0,9090.0,9115.0,370210,189852,188446
2016-07-14 00:00:00.000000000,1468425600000000000,9080.0,9270.0,9020.0,9190.0,379126,188446,185118
2016-07-15 00:00:00.000000000,1468512000000000000,9160.0,9190.0,9010.0,9130.0,283712,185118,177990
2016-07-18 00:00:00.000000000,1468771200000000000,9070.0,9230.0,8920.0,9010.0,286354,177990,181296
2016-07-19 00:00:00.000000000,1468857600000000000,9040.0,9045.0,8765.0,8845.0,311243,181296,166812
2016-07-20 00:00:00.000000000,1468944000000000000,8850.0,8910.0,8770.0,8875.0,212994,166812,153533
2016-07-21 00:00:00.000000000,1469030400000000000,8920.0,9050.0,8870.0,9020.0,214204,153533,153466
2016-07-22 00:00:00.000000000,1469116800000000000,8970.0,9105.0,8955.0,9020.0,211315,153466,139627
2016-07-25 00:00:00.000000000,1469376000000000000,8985.0,9005.0,8800.0,8865.0,207214,139627,134815
2016-07-26 00:00:00.000000000,1469462400000000000,8820.0,8830.0,8670.0,8730.0,180434,134815,126205
2016-07-27 00:00:00.000000000,1469548800000000000,8765.0,8825.0,8695.0,8740.0,146652,126205,117662
2016-07-28 00:00:00.000000000,1469635200000000000,8720.0,9180.0,8710.0,9175.0,310834,117662,112117
2016-07-29 00:00:00.000000000,1469721600000000000,9160.0,9215.0,9080.0,9165.0,189465,112117,110961
2016-08-01 00:00:00.000000000,1469980800000000000,9240.0,9415.0,9220.0,9350.0,158370,110961,107898
2016-08-02 00:00:00.000000000,1470067200000000000,8985.0,9160.0,8845.0,8885.0,315086,107898,219151
2016-08-03 00:00:00.000000000,1470153600000000000,8850.0,8985.0,8840.0,8975.0,252405,219151,230550
2016-08-04 00:00:00.000000000,1470240000000000000,9030.0,9050.0,8800.0,8900.0,227427,230550,230651
2016-08-05 00:00:00.000000000,1470326400000000000,8955.0,9120.0,8925.0,9085.0,257091,230651,243963
2016-08-08 00:00:00.000000000,1470585600000000000,9095.0,9145.0,8920.0,9070.0,259976,243963,238655
2016-08-09 00:00:00.000000000,1470672000000000000,9080.0,9180.0,8980.0,9050.0,316881,238655,242954
2016-08-10 00:00:00.000000000,1470758400000000000,9050.0,9100.0,8825.0,8905.0,307157,242954,238404
2016-08-11 00:00:00.000000000,1470844800000000000,8850.0,8960.0,8775.0,8890.0,232156,238404,234374
2016-08-12 00:00:00.000000000,1470931200000000000,8965.0,8975.0,8860.0,8900.0,149958,234374,235097
2016-08-15 00:00:00.000000000,1471190400000000000,8875.0,9075.0,8845.0,8970.0,210086,235097,240198
2016-08-16 00:00:00.000000000,1471276800000000000,8995.0,9040.0,8855.0,8910.0,209326,240198,233003
2016-08-17 00:00:00.000000000,1471363200000000000,8930.0,8935.0,8835.0,8840.0,178606,233003,230015
2016-08-18 00:00:00.000000000,1471449600000000000,8860.0,9060.0,8830.0,8950.0,263510,230015,218686
2016-08-19 00:00:00.000000000,1471536000000000000,8990.0,9085.0,8935.0,9025.0,215510,218686,226260
2016-08-22 00:00:00.000000000,1471795200000000000,9025.0,9040.0,8880.0,8915.0,175413,226260,219133
2016-08-23 00:00:00.000000000,1471881600000000000,8940.0,9115.0,8910.0,9105.0,209664,219133,236251
2016-08-24 00:00:00.000000000,1471968000000000000,9125.0,9270.0,9045.0,9060.0,380626,236251,230244
2016-08-25 00:00:00.000000000,1472054400000000000,9010.0,9120.0,8960.0,9080.0,243989,230244,236300
2016-08-26 00:00:00.000000000,1472140800000000000,9085.0,9150.0,9040.0,9110.0,229346,236300,249118
2016-08-29 00:00:00.000000000,1472400000000000000,9100.0,9130.0,8785.0,8795.0,379131,249118,254925
2016-08-30 00:00:00.000000000,1472486400000000000,8795.0,8850.0,8730.0,8755.0,247220,254925,259515
2016-08-31 00:00:00.000000000,1472572800000000000,8745.0,8820.0,8720.0,8795.0,200719,259515,254299
2016-09-01 00:00:00.000000000,1472659200000000000,8785.0,8820.0,8685.0,8735.0,242724,254299,263962
2016-09-02 00:00:00.000000000,1472745600000000000,8755.0,8800.0,8700.0,8730.0,238463,263962,250810
2016-09-05 00:00:00.000000000,1473004800000000000,8760.0,8825.0,8630.0,8655.0,252304,250810,271903
2016-09-06 00:00:00.000000000,1473091200000000000,8670.0,8860.0,8655.0,8835.0,291156,271903,270828
2016-09-07 00:00:00.000000000,1473177600000000000,8840.0,8880.0,8790.0,8865.0,186067,270828,268394
2016-09-08 00:00:00.000000000,1473264000000000000,8865.0,9015.0,8840.0,9005.0,310017,268394,269664
2016-09-09 00:00:00.000000000,1473350400000000000,9025.0,9045.0,8950.0,8980.0,206334,269664,262966
2016-09-12 00:00:00.000000000,1473609600000000000,8955.0,8975.0,8715.0,8740.0,327891,262966,244838
2016-09-13 00:00:00.000000000,1473696000000000000,8770.0,8795.0,8705.0,8745.0,183669,244838,239622
2016-09-14 00:00:00.000000000,1473782400000000000,8720.0,8820.0,8690.0,8750.0,190169,239622,237180
2016-09-19 00:00:00.000000000,1474214400000000000,8715.0,8780.0,8680.0,8730.0,174869,237180,247287
2016-09-20 00:00:00.000000000,1474300800000000000,8740.0,8795.0,8640.0,8715.0,263199,247287,257991
2016-09-21 00:00:00.000000000,1474387200000000000,8750.0,8785.0,8685.0,8705.0,229929,257991,265175
2016-09-22 00:00:00.000000000,1474473600000000000,8730.0,8795.0,8570.0,8625.0,439637,265175,298626
2016-09-23 00:00:00.000000000,1474560000000000000,8630.0,8645.0,8520.0,8585.0,261162,298626,304540
2016-09-26 00:00:00.000000000,1474819200000000000,8610.0,8635.0,8550.0,8590.0,153943,304540,298289
2016-09-27 00:00:00.000000000,1474905600000000000,8610.0,8675.0,8535.0,8635.0,204055,298289,296878
2016-09-28 00:00:00.000000000,1474992000000000000,8635.0,8675.0,8610.0,8660.0,134873,296878,286908
2016-09-29 00:00:00.000000000,1475078400000000000,8740.0,8875.0,8695.0,8745.0,264166,286908,250567
2016-09-30 00:00:00.000000000,1475164800000000000,8755.0,8810.0,8730.0,8800.0,100830,250567,236973
2016-10-10 00:00:00.000000000,1476028800000000000,9000.0,9195.0,8960.0,9170.0,266187,236973,231106
2016-10-11 00:00:00.000000000,1476115200000000000,9270.0,9345.0,9205.0,9285.0,258801,231106,242705
2016-10-12 00:00:00.000000000,1476201600000000000,9260.0,9335.0,9225.0,9330.0,159923,242705,250733
2016-10-13 00:00:00.000000000,1476288000000000000,9300.0,9315.0,9165.0,9265.0,245480,250733,249862
2016-10-14 00:00:00.000000000,1476374400000000000,9285.0,9325.0,9180.0,9285.0,227153,249862,258971
2016-10-17 00:00:00.000000000,1476633600000000000,9305.0,9420.0,9205.0,9245.0,245924,258971,252546
2016-10-18 00:00:00.000000000,1476720000000000000,9225.0,9500.0,9155.0,9495.0,262545,252546,282431
2016-10-19 00:00:00.000000000,1476806400000000000,9545.0,9580.0,9365.0,9460.0,234402,282431,268609
2016-10-20 00:00:00.000000000,1476892800000000000,9485.0,9580.0,9420.0,9435.0,188264,268609,268622
2016-10-21 00:00:00.000000000,1476979200000000000,9380.0,9510.0,9350.0,9485.0,169485,268622,268359
2016-10-24 00:00:00.000000000,1477238400000000000,9485.0,9660.0,9460.0,9610.0,192347,268359,274242
2016-10-25 00:00:00.000000000,1477324800000000000,9620.0,9935.0,9610.0,9675.0,317626,274242,246092
2016-10-26 00:00:00.000000000,1477411200000000000,9620.0,9670.0,9525.0,9625.0,219849,246092,237044
2016-10-27 00:00:00.000000000,1477497600000000000,9640.0,9660.0,9545.0,9565.0,168198,237044,233688
2016-10-28 00:00:00.000000000,1477584000000000000,9595.0,9895.0,9565.0,9870.0,259596,233688,247052
2016-10-31 00:00:00.000000000,1477843200000000000,9840.0,10215.0,9810.0,10045.0,380937,247052,230917
2016-11-01 00:00:00.000000000,1477929600000000000,9955.0,10145.0,9895.0,10110.0,246527,230917,221566
2016-11-02 00:00:00.000000000,1478016000000000000,10090.0,10175.0,9870.0,9945.0,268222,221566,216196
2016-11-03 00:00:00.000000000,1478102400000000000,9940.0,10060.0,9915.0,10035.0,185501,216196,219156
2016-11-04 00:00:00.000000000,1478188800000000000,10085.0,10125.0,9820.0,9865.0,272190,219156,210665
2016-11-07 00:00:00.000000000,1478448000000000000,9905.0,9990.0,9785.0,9790.0,258430,210665,207830
2016-11-08 00:00:00.000000000,1478534400000000000,9815.0,10090.0,9780.0,9990.0,244195,207830,205188
2016-11-09 00:00:00.000000000,1478620800000000000,10055.0,10335.0,10010.0,10240.0,364078,205188,195692
2016-11-10 00:00:00.000000000,1478707200000000000,10235.0,10335.0,10130.0,10260.0,217574,195692,190596
2016-11-11 00:00:00.000000000,1478793600000000000,10280.0,10615.0,10220.0,10275.0,368330,190596,189722
2016-11-14 00:00:00.000000000,1479052800000000000,9935.0,9995.0,9875.0,9875.0,176855,189722,179374
2016-11-15 00:00:00.000000000,1479139200000000000,9875.0,10005.0,9500.0,9665.0,336206,179374,157700
2016-11-16 00:00:00.000000000,1479225600000000000,9760.0,9800.0,9620.0,9720.0,213439,157700,158367
2016-11-17 00:00:00.000000000,1479312000000000000,9710.0,9710.0,9585.0,9655.0,142396,158367,149921
2016-11-18 00:00:00.000000000,1479398400000000000,9615.0,9635.0,9400.0,9420.0,208116,149921,143729
2016-11-21 00:00:00.000000000,1479657600000000000,9400.0,9665.0,9390.0,9610.0,189557,143729,142819
2016-11-22 00:00:00.000000000,1479744000000000000,9690.0,9840.0,9675.0,9775.0,195948,142819,135352
2016-11-23 00:00:00.000000000,1479830400000000000,9800.0,9820.0,9460.0,9525.0,226271,135352,131415
2016-11-24 00:00:00.000000000,1479916800000000000,9595.0,9750.0,9300.0,9325.0,275188,131415,125229
2016-11-25 00:00:00.000000000,1480003200000000000,9345.0,9475.0,9325.0,9335.0,151210,125229,106894
2016-11-28 00:00:00.000000000,1480262400000000000,9315.0,9655.0,9275.0,9565.0,170587,106894,83772
2016-11-29 00:00:00.000000000,1480348800000000000,9630.0,9660.0,9410.0,9540.0,245048,83772,130002
2016-11-30 00:00:00.000000000,1480435200000000000,9420.0,9480.0,9195.0,9265.0,244083,130002,140390
2016-12-01 00:00:00.000000000,1480521600000000000,9425.0,9480.0,9340.0,9375.0,202740,140390,132917
2016-12-02 00:00:00.000000000,1480608000000000000,9400.0,9615.0,9390.0,9545.0,272021,132917,140896
2016-12-05 00:00:00.000000000,1480867200000000000,9580.0,9960.0,9565.0,9930.0,317624,140896,153572
2016-12-06 00:00:00.000000000,1480953600000000000,9940.0,9990.0,9850.0,9920.0,176649,153572,150672
2016-12-07 00:00:00.000000000,1481040000000000000,9935.0,10330.0,9925.0,10155.0,320239,150672,153289
2016-12-08 00:00:00.000000000,1481126400000000000,10090.0,10290.0,10005.0,10180.0,272578,153289,160250
2016-12-09 00:00:00.000000000,1481212800000000000,10120.0,10440.0,10055.0,10355.0,311388,160250,173527
2016-12-12 00:00:00.000000000,1481472000000000000,10530.0,10710.0,10355.0,10400.0,281299,173527,163224
2016-12-13 00:00:00.000000000,1481558400000000000,10375.0,10525.0,10325.0,10450.0,181646,163224,170998
2016-12-14 00:00:00.000000000,1481644800000000000,10355.0,10430.0,10250.0,10345.0,248674,170998,171807
2016-12-15 00:00:00.000000000,1481731200000000000,10290.0,10345.0,10100.0,10220.0,246175,171807,162801
2016-12-16 00:00:00.000000000,1481817600000000000,10250.0,10470.0,10100.0,10150.0,300897,162801,171428
2016-12-19 00:00:00.000000000,1482076800000000000,10145.0,10205.0,10010.0,10025.0,200406,171428,164904
2016-12-20 00:00:00.000000000,1482163200000000000,10025.0,10035.0,9780.0,9845.0,252637,164904,155734
2016-12-21 00:00:00.000000000,1482249600000000000,9895.0,9960.0,9755.0,9865.0,183322,155734,146055
2016-12-22 00:00:00.000000000,1482336000000000000,9840.0,10025.0,9835.0,9890.0,252336,146055,152891
2016-12-23 00:00:00.000000000,1482422400000000000,9940.0,9980.0,9750.0,9845.0,267875,152891,136668
2016-12-26 00:00:00.000000000,1482681600000000000,9835.0,10050.0,9680.0,10045.0,332948,136668,149329
2016-12-27 00:00:00.000000000,1482768000000000000,10015.0,10205.0,9975.0,10190.0,287455,149329,154682
2016-12-28 00:00:00.000000000,1482854400000000000,10320.0,10355.0,10105.0,10140.0,254415,154682,144132
2016-12-29 00:00:00.000000000,1482940800000000000,10155.0,10315.0,10085.0,10175.0,237127,144132,147533
2016-12-30 00:00:00.000000000,1483027200000000000,10085.0,10100.0,9855.0,9880.0,245209,147533,128017
2017-01-03 00:00:00.000000000,1483372800000000000,9870.0,9955.0,9705.0,9710.0,207890,128017,129764
2017-01-04 00:00:00.000000000,1483459200000000000,9670.0,9820.0,9635.0,9695.0,217549,129764,132329
2017-01-05 00:00:00.000000000,1483545600000000000,9740.0,9770.0,9620.0,9700.0,211030,132329,134841
2017-01-06 00:00:00.000000000,1483632000000000000,9740.0,9900.0,9525.0,9525.0,338423,134841,140029
2017-01-09 00:00:00.000000000,1483891200000000000,9555.0,9795.0,9520.0,9795.0,227563,140029,127879
2017-01-10 00:00:00.000000000,1483977600000000000,9765.0,9870.0,9650.0,9860.0,234383,127879,126027
2017-01-11 00:00:00.000000000,1484064000000000000,9875.0,9940.0,9730.0,9815.0,243245,126027,126670
2017-01-12 00:00:00.000000000,1484150400000000000,9850.0,9990.0,9755.0,9825.0,270602,126670,132426
2017-01-13 00:00:00.000000000,1484236800000000000,9860.0,10125.0,9830.0,10105.0,298509,132426,152770
2017-01-16 00:00:00.000000000,1484496000000000000,10215.0,10315.0,10120.0,10270.0,256283,152770,151434
2017-01-17 00:00:00.000000000,1484582400000000000,10240.0,10330.0,10080.0,10130.0,221881,151434,149278
